,key
970,ref:penndot
971,name:be-tarask:word_stress
972,telecom
973,converted_by
974,taxon:species
975,map_size
976,gnis:import_uuid
977,country
978,ref:opendataparis:adresse
979,traffic_sign:backward
980,sidewalk:right:surface
981,railway:scmt
982,alt_name:ar
983,waterway:llid
984,disused:shop
985,tiger:name_type_2
986,gnis:reviewed
987,air_conditioning
988,nhd-shp:fcode
989,network:guid
990,addr:subcounty
991,building:state_of_the_house
992,plant:method
993,typhoon:damage
994,source:name:oc
995,building:fi:id
996,highway_authority_ref
997,access:roof
998,naptan:BusStopType
999,ref:UAI
1000,ref:gurs:hs_mid
1001,building:use:residential
1002,naptan:Crossing
1003,time
1004,name:nan
1005,is_in:town
1006,tiger:zip_left_2
1007,ref:zh
1008,building:category_of_the_house
1009,male
1010,maxstay
1011,club
1012,phases
1013,nvdb:date
1014,name:etymology
1015,geobase:uuid
1016,ref:FR:SIRET
1017,railway:ref
1018,KSJ2:ARE
1019,railway:switch:electric
1020,source:postal_code
1021,seamark:buoy_lateral:system
1022,name:pt
1023,top_ele
1024,contact:twitter
1025,rooms
1026,noaddress
1027,name:ka
1028,maxwidth
1029,hgv:state_network
1030,source:hgv:state_network
1031,geobase:datasetName
1032,railway:ls
1033,gvr:code
1034,old_name:ru
1035,tmc
1036,platform:width
1037,trailblazed
1038,reg_name
1039,couplings:diameters
1040,NHD:Elevation
1041,female
1042,detail
1043,network:en
1044,editor
1045,population:pupils:2015
1046,GeoBaseNHN:DatasetName
1047,IPP:CodEdificio
1048,turn:lanes:both_ways
1049,carriageway_ref
1050,reservoir_type
1051,old_ref_legislative
1052,architect
1053,height_ft
1054,ssr:type
1055,population:pupils:2012
1056,fuel:octane_98
1057,old_ref:1945
1058,cycleway:right:lane
1059,railway:track_type
1060,maintenance
1061,goods
1062,railway:signal:main:height
1063,ID
1064,ephemeral
1065,light:direction
1066,rwn_ref
1067,payment:notes
1068,was:building
1069,cosmha
1070,change:lanes:forward
1071,reporting_marks
1072,odbl
1073,trolleybus
1074,old_addr:housename
1075,traffic_sign:direction
1076,mml:ref
1077,railway:signal:minor:form
1078,old_name:en
1079,massgis:IT_VALDESC
1080,species:es
1081,hcpaogis:dorcode
1082,zoning
1083,ref:mhs
1084,massgis:SOURCE
1085,location:accuracy
1086,change:lanes:backward
1087,lamp_model
1088,building:architecture
1089,railway:signal:distant:form
1090,lamp_operator
1091,railway:signal:distant
1092,NJDOT_SRI
1093,utahagrc:parcelid
1094,opening_date
1095,fire_hydrant:street
1096,massgis:PALIS_ID
1097,massgis:OBJECTID
1098,massgis:IT_VALC
1099,massgis:WETCODE
